"Main food description","Categoria","Calorias (kcal)","Proteina (g)","Carbohidrats (g)","Azucares totales
(g)","Fibra  (g)","Grasa (g)","Grasa saturada (g)","Grasa monoinsaturada (g)","Grasa poliinsaturada (g)","Colesterol (mg)","Retinol (mcg)","Vitamin A, RAE (mcg_RAE)","Caroteno, alpha (mcg)","Caroteno, beta (mcg)","Cryptoxanthin, beta (mcg)","Licopeno (mcg)","Luteina + zeaxanthin (mcg)","Tiamina (mg)","Riboflavina (mg)","Niacina (mg)","Vitamin B-6 (mg)","Acido folico(mcg)","Folato (mcg)","Folato, DFE (mcg_DFE)","Folato total (mcg)","Colina (mg)","Vitamina B-12 (mcg)","Vitamin B-12, added
(mcg)","Vitamina C (mg)","Vitamina D (D2 + D3) (mcg)","Vitamina E (alpha-tocopherol) (mg)","Vitamin E, added
(mg)","Vitamina K (phylloquinone) (mcg)","Calcio (mg)","fosforo (mg)","Magnesio (mg)","Hierro
(mg)","Zinc
(mg)","Cobre (mg)","Selenio (mcg)","Potasio (mg)","Sodio (mg)","Cafeina (mg)","Teobromina (mg)","Alcohol (g)","4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Agua
(g)"
"Infant formula, ready-to-feed, with iron (Enfamil Premature 20 Cal)","Formula, ready-to-feed","66","1.97","7.21","7.2","0","3.34","1.679","0.021","1.164","0","250","250","0","0","0","0","0","0.131","0.197","2.623","0.098","26","0","45","26","15.7","0.16","0.16","13.1","3.9","1.86","1.86","5.2","108","54","6","1.18","0.98","0.079","1.8","64","38","0","0","0","0","0.01","1.02","0.381","0.01","0.01","0.155","0.093","0","0","0.01","0.01","1.051","0.082","0","0.021","0","0","0.01","87.78"
"Infant formula, with fiber, NS as to form (PediaSure Fiber)","Formula, ready-to-feed","99","2.8","11.28","7.6","0.5","4.7","1.256","1.936","1.067","2","46","46","0","0","0","0","0","0.256","0.2","0.96","0.248","28","0","48","28","28.4","0.56","0.56","9.6","1.2","1.46","1.46","5.6","92","80","19","1.32","0.56","0.106","3","124","36","0","0","0","0","0","0.503","0.349","0.013","0.009","0.26","0.122","0.004","1.921","0.011","0","0.975","0.092","0","0","0","0","0","80.47"
"Infant formula, with fiber, ready-to-feed (PediaSure Fiber)","Formula, ready-to-feed","99","2.8","11.28","7.6","0.5","4.7","1.256","1.936","1.067","2","46","46","0","0","0","0","0","0.256","0.2","0.96","0.248","28","0","48","28","28.4","0.56","0.56","9.6","1.2","1.46","1.46","5.6","92","80","19","1.32","0.56","0.106","3","124","36","0","0","0","0","0","0.503","0.349","0.013","0.009","0.26","0.122","0.004","1.921","0.011","0","0.975","0.092","0","0","0","0","0","80.47"
"Injera, Ethiopian bread","Yeast breads","87","3.48","18.29","1.03","2.7","0.84","0.177","0.272","0.236","0","0","0","0","0","0","0","49","0.174","0.076","1.712","0.143","0","29","29","29","13.1","0","0","0","0","0.08","0","1.7","13","89","64","1.03","0.85","0.14","1.5","152","229","0","0","0","0","0","0.008","0.004","0.003","0.006","0.108","0.013","0.024","0.241","0","0.003","0.218","0.018","0","0","0","0","0","76.04"
"Instant soup, noodle","Soups","25","1.03","4.17","0.13","0.2","0.44","0.132","0.152","0.094","5","1","1","0","1","0","0","3","0.037","0.026","0.327","0.016","4","1","7","5","4.1","0.05","0","0","0","0.02","0","0","6","13","3","0.16","0.12","0.028","2.2","20","215","0","0","0","0","0","0","0.001","0.002","0.007","0.09","0.027","0.016","0.129","0.002","0.001","0.087","0.003","0","0.002","0","0","0","93.54"
"Instant soup, noodle with egg, shrimp or chicken","Soups","67","1.55","9.17","0.3","0.4","2.68","1.235","0.937","0.334","0","0","0","0","1","0","0","3","0.055","0.035","0.74","0.005","7","5","18","12","0.8","0.04","0","0","0","0.37","0","1.4","6","17","5","0.62","0.1","0.028","3.5","28","286","0","0","0","0","0","0.001","0.002","0.008","0.027","1.073","0.108","0.004","0.927","0.005","0","0.324","0.009","0","0.001","0","0","0","85.69"
"Irish Coffee","Liquor and cocktails","88","0.27","2.03","2.04","0","2.41","1.53","0.614","0.105","7","27","27","0","5","0","0","0","0.012","0.064","0.135","0.003","0","2","2","2","2.8","0.01","0","0","0.1","0.07","0","0.3","6","7","2","0.02","0.04","0.007","0.2","39","3","27","0","8.3","0.049","0.04","0.025","0.06","0.07","0.221","0.618","0.237","0.044","0.529","0.004","0","0.087","0.008","0","0.004","0.001","0.001","0","86.63"
"Italian dressing, fat free","Salad dressings and vegetable oils","47","0.97","8.75","8.85","0.6","0.87","0.295","0.235","0.192","2","0","4","0","40","11","5","0","0.031","0.053","0.135","0","0","12","12","12","4","0.31","0","0.4","0","0.76","0","1.6","30","109","5","0.4","0.36","0.116","2","102","1129","0","0","0","0","0","0","0.003","0.01","0.038","0.151","0.071","0.009","0.21","0","0.003","0.163","0.027","0","0","0","0","0","85.95"
"Italian dressing, light","Salad dressings and vegetable oils","102","0.39","9.99","9.16","0","6.68","0.833","1.725","3.236","0","0","1","0","7","0","0","0","0.012","0.008","0.094","0.055","0","3","3","3","3.3","0","0","0","0","4.28","0","12.5","15","12","4","0.25","0.06","0.019","1.6","90","891","0","0","0","0","0","0","0","0","0.005","0.559","0.215","0.007","1.68","0.034","0.001","2.775","0.458","0","0.002","0","0","0","80.11"
"Italian dressing, made with vinegar and oil","Salad dressings and vegetable oils","240","0.41","12.12","10.77","0","21.12","2.948","5.638","10.748","0","0","2","0","21","2","16","0","0.02","0","0.131","0.064","0","0","0","0","2.6","0","0","0.4","0","2.19","0","56","13","15","5","0.26","0.07","0.019","2","84","993","0","0","0","0","0","0.102","0.093","0.001","0.013","1.849","0.72","0.022","5.484","0.113","0.009","9.243","1.489","0","0.007","0","0","0","63.4"
"Italian Ice","Gelatins, ices, sorbets","128","0.4","32.6","32.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0.007","0.001","0","0","0","0","4","0","0","1","0","0","0","0","2","1","1","0.16","0.02","0.013","0.1","3","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66.9"
"Italian Ice, no sugar added","Gelatins, ices, sorbets","24","0","5.92","1.52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.4","0","0","0","0","0","0","1","0.67","0.47","0","0","11","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.03"
"Italian sausage","Sausages","322","18.2","2.15","1.46","0","26.2","9.15","11.6","4.96","80","22","22","0","0","0","0","0","0.31","0.242","5.73","0.343","0","0","0","0","70.4","1.06","0","0","1","0.8","0","0","12","145","19","1.29","2.41","0.074","20.2","310","766","0","0","0","0.006","0","0.002","0.016","0.017","0.335","5.71","2.9","0.583","10.77","0.297","0.009","4.36","0.18","0","0.125","0.005","0.024","0.003","50.9"
"Italian Wedding Soup","Soups","70","4.86","6.53","1.53","0.8","2.68","1.006","0.964","0.192","16","7","64","183","586","0","347","282","0.141","0.103","1.156","0.087","8","9","22","17","14.4","0.32","0","2.8","0.1","0.23","0","11.9","38","55","11","0.72","0.9","0.048","6.6","133","389","0","0","0","0.009","0.007","0.005","0.011","0.014","0.086","0.524","0.316","0.071","0.836","0.007","0","0.169","0.014","0","0.007","0","0","0.001","84.59"
"Jagerbomb","Liquor and cocktails","125","0.34","18.07","18.07","0","0.08","0.003","0.004","0.042","0","0","0","0","0","0","0","0","0.03","0.077","7.371","1.625","0","0","0","0","0.2","1.48","1.47","0","0","0","0","0","4","0","14","0.06","0.02","0.022","0.2","2","30","22","0","7.4","0","0","0","0","0","0","0.002","0.001","0","0.004","0","0","0.014","0.027","0","0","0","0","0","73.99"
"Jai, Monk's Food","Other vegetables and combinations","62","4.15","8.45","1.37","1.4","1.86","0.283","0.411","1.01","0","0","0","0","2","0","0","0","0.045","0.042","0.528","0.111","0","18","18","18","27.1","0","0","5.6","0.1","0.1","0","1","54","64","21","0.86","0.57","0.235","7.4","179","14","0","0","0","0","0","0.001","0.001","0.004","0.007","0.205","0.066","0.009","0.398","0.001","0.002","0.888","0.122","0","0","0","0","0","84.88"
"Jam, preserve, all flavors","Jams, syrups, toppings","278","0.37","68.86","48.5","1.1","0.07","0.01","0.038","0","0","0","0","0","0","0","0","0","0.016","0.076","0.036","0.02","0","11","11","11","10.2","0","0","8.8","0","0.12","0","0","20","19","4","0.49","0.06","0.1","2","77","32","0","0","0","0","0","0","0","0","0","0.004","0","0","0.007","0.018","0.014","0","0","0","0","0","0","0","30.47"
"Jam, preserve, marmalade, reduced sugar, all flavors","Jams, syrups, toppings","151","0","37.6","29.41","1.5","0.1","0.005","0.014","0.05","0","0","0","0","5","0","0","20","0.01","0.02","0.08","0.02","0","18","18","18","4.2","0","0","15","0","0.21","0","1.6","0","7","4","0","0.05","0.038","0.4","59","0","0","0","0","0","0","0","0","0","0","0.004","0.001","0","0.014","0","0","0.029","0.021","0","0","0","0","0","62"
"Jam, preserve, marmalade, sugar free, all flavors","Jams, syrups, toppings","121","0.55","29.6","3.39","2.2","0","0","0","0","0","0","35","7","402","38","0","33","0.011","0.015","0.22","0.02","0","3","3","3","1","0","0","0","0","0.33","0","1.2","31","9","4","0.15","0.07","0.032","0","96","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69.53"
"Jam, preserve, marmalade, sweetened with fruit juice concentrates, all flavors","Jams, syrups, toppings","212","0","52.93","42","0.9","0","0","0","0","0","0","1","0","12","0","0","12","0.028","0.022","0.203","0.012","0","7","7","7","2.5","0","0","18.1","0","0.13","0","1","11","6","5","0.34","0.2","0.031","0.8","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46.84"
"Jambalaya with meat and rice","Rice mixed dishes","162","13.77","8.64","0.94","0.7","7.97","2.212","3.319","1.617","58","3","8","1","64","2","439","41","0.225","0.149","4.405","0.23","13","9","30","22","41.8","0.32","0","6.4","0.2","0.68","0","4.3","24","136","19","1.12","1.07","0.08","14.3","241","379","0","0","0","0.001","0","0","0.003","0.003","0.065","1.506","0.598","0.261","3.008","0.049","0.001","1.436","0.115","0","0.027","0","0.003","0.001","68.27"
"Jelly sandwich, reduced sugar jelly, on wheat bread","Peanut butter and jelly sandwiches (single code)","219","6.84","42.29","14.89","3.8","2.43","0.434","0.397","0.96","0","0","0","0","3","0","0","46","0.242","0.136","2.962","0.104","9","42","57","51","14.4","0","0","6.1","0","0.29","0","4","97","103","35","1.89","0.84","0.13","16.7","137","278","0","0","0","0","0","0.001","0.002","0.005","0.004","0.264","0.143","0.01","0.381","0.008","0","0.858","0.098","0","0.001","0.001","0","0","46.97"
"Jelly sandwich, reduced sugar jelly, on white bread","Peanut butter and jelly sandwiches (single code)","222","5.66","44.56","14.97","2","2.19","0.495","0.436","1.142","0","0","0","0","2","0","0","34","0.308","0.152","2.888","0.063","52","22","110","74","10.4","0","0","6","0","0.22","0","0.8","127","71","18","2.02","0.55","0.09","14.1","94","286","0","0","0","0.002","0.001","0.004","0.003","0.008","0.008","0.297","0.152","0.013","0.431","0.007","0","1.02","0.128","0","0.001","0.001","0","0","46.22"
"Jelly sandwich, reduced sugar jelly, on whole wheat bread","Peanut butter and jelly sandwiches (single code)","219","6.84","42.29","14.89","3.8","2.43","0.434","0.397","0.96","0","0","0","0","3","0","0","46","0.242","0.136","2.962","0.104","9","42","57","51","14.4","0","0","6.1","0","0.29","0","4","97","103","35","1.89","0.84","0.13","16.7","137","278","0","0","0","0","0","0.001","0.002","0.005","0.004","0.264","0.143","0.01","0.381","0.008","0","0.858","0.098","0","0.001","0.001","0","0","46.97"
"Jelly sandwich, regular jelly, NFS","Peanut butter and jelly sandwiches (single code)","268","5.72","57.5","23.69","1.8","2.16","0.495","0.431","1.124","0","0","0","0","1","0","0","35","0.305","0.154","2.87","0.063","52","16","103","67","12.9","0","0","0.4","0","0.13","0","0.2","129","70","19","2.09","0.54","0.079","14.1","92","298","0","0","0","0.002","0.001","0.004","0.003","0.008","0.008","0.297","0.152","0.013","0.426","0.007","0","1.009","0.12","0","0.001","0.001","0","0","33.33"
"Jelly sandwich, regular jelly, on wheat bread","Peanut butter and jelly sandwiches (single code)","265","6.9","55.23","23.61","3.6","2.39","0.434","0.392","0.941","0","0","0","0","2","0","0","47","0.239","0.139","2.944","0.104","9","36","50","44","16.9","0","0","0.4","0","0.21","0","3.4","100","102","36","1.97","0.83","0.119","16.7","135","290","0","0","0","0","0","0.001","0.002","0.005","0.004","0.264","0.143","0.01","0.375","0.008","0","0.847","0.09","0","0.001","0.001","0","0","34.08"
"Jelly sandwich, regular jelly, on white bread","Peanut butter and jelly sandwiches (single code)","268","5.72","57.5","23.69","1.8","2.16","0.495","0.431","1.124","0","0","0","0","1","0","0","35","0.305","0.154","2.87","0.063","52","16","103","67","12.9","0","0","0.4","0","0.13","0","0.2","129","70","19","2.09","0.54","0.079","14.1","92","298","0","0","0","0.002","0.001","0.004","0.003","0.008","0.008","0.297","0.152","0.013","0.426","0.007","0","1.009","0.12","0","0.001","0.001","0","0","33.33"
"Jelly sandwich, regular jelly, on whole wheat bread","Peanut butter and jelly sandwiches (single code)","265","6.9","55.23","23.61","3.6","2.39","0.434","0.392","0.941","0","0","0","0","2","0","0","47","0.239","0.139","2.944","0.104","9","36","50","44","16.9","0","0","0.4","0","0.21","0","3.4","100","102","36","1.97","0.83","0.119","16.7","135","290","0","0","0","0","0","0.001","0.002","0.005","0.004","0.264","0.143","0.01","0.375","0.008","0","0.847","0.09","0","0.001","0.001","0","0","34.08"
"Jelly, all flavors","Jams, syrups, toppings","266","0.15","69.95","51.22","1","0.02","0.005","0.001","0.004","0","0","0","0","3","0","0","22","0.001","0.026","0.036","0.02","0","2","2","2","10.3","0","0","0.9","0","0","0","0.3","7","6","6","0.19","0.03","0.011","0.4","54","30","0","0","0","0","0","0","0","0","0","0.004","0.001","0","0.001","0","0","0.003","0.001","0","0","0","0","0","29.77"
"Jelly, reduced sugar, all flavors","Jams, syrups, toppings","151","0","37.6","29.41","1.5","0.1","0.005","0.014","0.05","0","0","0","0","5","0","0","20","0.01","0.02","0.08","0.02","0","18","18","18","4.2","0","0","15","0","0.21","0","1.6","0","7","4","0","0.05","0.038","0.4","59","0","0","0","0","0","0","0","0","0","0","0.004","0.001","0","0.014","0","0","0.029","0.021","0","0","0","0","0","62"
"Jelly, sugar free, all flavors","Jams, syrups, toppings","121","0.55","29.6","3.39","2.2","0","0","0","0","0","0","35","7","402","38","0","33","0.011","0.015","0.22","0.02","0","3","3","3","1","0","0","0","0","0.33","0","1.2","31","9","4","0.15","0.07","0.032","0","96","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69.53"
"Jicama, raw","Other vegetables and combinations","38","0.72","8.82","1.8","4.9","0.09","0.021","0.005","0.043","0","0","1","0","13","0","0","0","0.02","0.029","0.2","0.042","0","12","12","12","13.6","0","0","20.2","0","0.46","0","0.3","12","18","12","0.6","0.16","0.048","0.7","150","4","0","0","0","0","0","0","0","0","0","0.018","0.002","0","0.005","0","0","0.029","0.014","0","0","0","0","0","90.07"
"Johnnycake","Biscuits, muffins, quick breads","274","7.89","43.77","8.67","1.8","7.38","2.179","2.696","1.885","64","36","42","28","44","1","0","815","0.274","0.366","2.294","0.129","81","22","160","103","52.8","0.21","0","0.5","0.3","0.52","0","2.4","104","148","25","2.29","0.84","0.055","11.4","207","918","0","0","0","0.024","0.014","0.009","0.018","0.02","0.084","1.148","0.712","0.051","2.623","0.008","0.001","1.729","0.106","0","0.031","0","0.001","0.009","37.79"
"Julienne salad, meat, cheese, eggs, vegetables, no dressing","Meat mixed dishes","111","10.99","2.57","1.13","0.7","6.31","2.873","1.858","0.518","74","53","178","168","1410","2","175","1132","0.154","0.203","2.358","0.238","0","34","34","34","64.2","0.41","0","4.7","0.5","0.5","0","54.5","102","142","20","0.78","1.1","0.048","14","226","277","0","0","0","0.07","0.058","0.038","0.093","0.105","0.345","1.505","0.59","0.14","1.763","0.012","0","0.441","0.053","0","0.03","0.002","0.003","0.006","78.83"
"Kale, canned, cooked, fat added","Other dark green vegetables","41","1.32","2.71","0.4","1.3","2.81","0.785","0.947","0.887","2","10","298","0","3447","0","0","6350","0.01","0.058","0.347","0.055","0","84","84","84","0.5","0","0","14.2","0","1.71","0","278.8","114","21","19","1.46","0.22","0.08","0.7","136","336","0","0","0","0.028","0.017","0.011","0.024","0.025","0.068","0.421","0.172","0.027","0.91","0.008","0","0.715","0.172","0","0","0","0","0","91.55"
"Kale, canned, cooked, no added fat","Other dark green vegetables","19","1.35","2.79","0.42","1.3","0.3","0.069","0.02","0.119","0","0","296","0","3545","0","0","6539","0.01","0.06","0.357","0.04","0","87","87","87","0.3","0","0","14.6","0","1.46","0","284.7","117","21","20","1.5","0.23","0.082","0.7","140","336","0","0","0","0","0","0.001","0.002","0.002","0.003","0.054","0.01","0.014","0.005","0","0","0.036","0.083","0","0","0","0","0","93.94"
"Kale, fresh, cooked, fat added","Other dark green vegetables","61","3.05","4.61","0.83","4.3","4.28","0.96","1.11","1.534","2","11","250","0","2843","27","0","6190","0.106","0.344","1.167","0.163","0","48","48","48","0.8","0","0","68.1","0","1","0","408.5","265","58","34","1.67","0.41","0.055","0.9","363","186","0","0","0","0.03","0.019","0.011","0.024","0.031","0.077","0.563","0.182","0.015","1.086","0.008","0","1.038","0.491","0","0.003","0","0","0","86.09"
"Kale, fresh, cooked, no added fat","Other dark green vegetables","38","3.13","4.74","0.86","4.4","1.6","0.191","0.111","0.721","0","0","245","0","2923","27","0","6375","0.109","0.353","1.202","0.15","0","50","50","50","0.5","0","0","70.1","0","0.71","0","418.1","272","59","35","1.72","0.42","0.057","1","373","181","0","0","0","0","0","0","0","0.006","0.006","0.169","0.006","0","0.111","0","0","0.312","0.405","0","0.003","0","0","0","88.53"
"Kale, frozen, cooked, fat added","Other dark green vegetables","57","2.85","5.14","1.08","2.2","3.71","0.874","1.021","1.353","2","10","152","10","1680","25","0","4821","0.061","0.136","0.443","0.077","0","63","63","63","0.7","0","0","17.2","0","1.85","0","407","146","41","24","0.82","0.26","0.065","1","140","138","0","0","0","0.028","0.018","0.01","0.022","0.029","0.071","0.507","0.169","0.014","0.999","0.008","0","0.934","0.416","0","0.003","0","0","0","87.26"
"Kale, frozen, cooked, no added fat","Other dark green vegetables","36","2.93","5.28","1.12","2.3","1.21","0.158","0.092","0.595","0","0","146","10","1725","26","0","4965","0.063","0.14","0.456","0.063","0","65","65","65","0.5","0","0","17.7","0","1.6","0","416.8","150","42","25","0.84","0.27","0.067","1","144","132","0","0","0","0","0","0","0","0.006","0.006","0.141","0.006","0","0.092","0","0","0.257","0.335","0","0.003","0","0","0","89.53"
"Kale, NS as to form, cooked","Other dark green vegetables","61","3.05","4.61","0.83","4.3","4.28","0.96","1.11","1.534","2","11","250","0","2843","27","0","6190","0.106","0.344","1.167","0.163","0","48","48","48","0.8","0","0","68.1","0","1","0","408.5","265","58","34","1.67","0.41","0.055","0.9","363","186","0","0","0","0.03","0.019","0.011","0.024","0.031","0.077","0.563","0.182","0.015","1.086","0.008","0","1.038","0.491","0","0.003","0","0","0","86.09"
"Kale, raw","Other dark green vegetables","35","2.92","4.42","0.8","4.1","1.49","0.178","0.104","0.673","0","0","241","0","2870","27","0","6260","0.113","0.347","1.18","0.147","0","62","62","62","0.5","0","0","93.4","0","0.66","0","390","254","55","33","1.6","0.39","0.053","0.9","348","53","0","0","0","0","0","0","0","0.006","0.006","0.158","0.006","0","0.104","0","0","0.291","0.378","0","0.003","0","0","0","89.6"
"Kamikaze","Liquor and cocktails","201","0.06","8.27","6.96","0.1","0.1","0.009","0.008","0.042","0","0","0","0","2","0","0","0","0.012","0.003","0.048","0.007","0","2","2","2","1.3","0","0","1.6","0","0.03","0","0.1","3","5","2","0.09","0.04","0.033","0.1","20","5","0","0","24.6","0","0","0","0","0","0","0.007","0.001","0.001","0.007","0","0","0.02","0.023","0","0","0","0","0","66.9"
"Kefir, NS as to fat content","Milk, lowfat","52","3.59","7.48","6.91","0","0.96","0.596","0.286","0.047","5","174","174","0","2","0","0","0","0.03","0.172","0.128","0.059","0","18","18","18","15.2","0.3","0","0.8","1","0.04","0","0.6","124","100","12","0.04","0.45","0.009","3.6","159","38","0","0","0","0.027","0.016","0.007","0.02","0.026","0.094","0.28","0.106","0.019","0.252","0.004","0","0.038","0.006","0","0.002","0","0.001","0","87.26"
"Ketchup","Tomato-based condiments","101","1.04","27.4","21.27","0.3","0.1","0.014","0.015","0.041","0","0","26","0","316","0","12062","161","0.011","0.166","1.434","0.158","0","9","9","9","12.5","0","0","4.1","0","1.46","0","3","15","26","13","0.35","0.17","0.085","0.7","281","907","0","0","0","0","0","0","0","0","0","0.01","0.004","0.001","0.015","0","0","0.039","0.001","0","0","0","0","0","68.51"
"Ketchup, reduced sodium","Tomato-based condiments","101","1.04","27.4","21.27","0.3","0.1","0.014","0.015","0.041","0","0","26","0","316","0","12062","161","0.011","0.166","1.434","0.158","0","9","9","9","12.5","0","0","4.1","0","1.46","0","3","15","26","13","0.35","0.17","0.085","0.7","281","20","0","0","0","0","0","0","0","0","0","0.01","0.004","0.001","0.015","0","0","0.039","0.001","0","0","0","0","0","68.51"
"Kibby, Puerto Rican style","Meat mixed dishes","168","8.76","17.99","0.8","3.1","7.2","2.673","3.089","0.302","24","1","1","0","3","0","0","45","0.056","0.079","2.312","0.141","0","8","8","8","24.5","0.55","0","0.9","0","0.08","0","1.9","22","121","44","1.25","1.89","0.106","5.8","206","558","0","0","0","0","0","0.003","0","0.005","0.205","1.525","0.818","0.251","2.682","0.023","0","0.26","0.029","0","0.012","0","0","0","63.89"
"Kidney beans and brown rice","Bean, pea, legume dishes","154","5.92","22.89","0.27","4.8","4.57","0.678","1.803","1.907","0","0","0","0","0","0","0","0","0.155","0.058","1.325","0.112","0","72","72","72","20.7","0","0","0.6","0","0.54","0","9.4","17","120","41","1.87","0.88","0.177","3","259","211","0","0","0","0","0","0.001","0.006","0.001","0.004","0.495","0.138","0.014","1.771","0.017","0","1.611","0.296","0","0","0","0","0","65.29"
"Kidney beans and rice, from fast food / restaurant","Bean, pea, legume dishes","178","5.72","23.17","0.19","4.2","7.07","0.984","2.856","2.933","0","0","0","0","0","0","0","0","0.145","0.035","0.865","0.097","21","68","104","89","17.3","0","0","0.6","0","0.82","0","12.4","19","93","29","2.06","0.77","0.158","3.5","231","296","0","0","0","0","0","0","0","0","0.001","0.714","0.221","0.024","2.803","0.027","0","2.498","0.435","0","0","0","0","0","62.53"
"Kidney beans and white rice","Bean, pea, legume dishes","157","5.9","23.91","0.2","4.3","4.29","0.605","1.691","1.791","0","0","0","0","0","0","0","0","0.149","0.036","0.893","0.1","22","70","107","92","17.9","0","0","0.6","0","0.49","0","9.3","20","96","30","2.12","0.79","0.163","3.7","239","229","0","0","0","0","0","0","0","0","0.001","0.444","0.132","0.014","1.66","0.016","0","1.494","0.297","0","0","0","0","0","64.53"
"Kidney beans with meat","Beans, peas, legumes","173","10.46","18.33","0.36","5.9","6.78","1.119","2.758","2.594","11","1","1","0","0","0","0","0","0.152","0.074","1.133","0.155","0","99","99","99","36.8","0.22","0","0.9","0.1","0.7","0","13.4","24","148","39","2.62","1.57","0.208","5.8","367","275","0","0","0","0","0","0","0","0","0.016","0.768","0.286","0.045","2.678","0.025","0","2.163","0.42","0","0.008","0","0","0","62.79"
"Kidney beans, from canned, fat added","Beans, peas, legumes","185","8.37","23.79","2.97","7.7","6.82","1.054","2.849","2.849","0","0","0","0","0","0","0","0","0.162","0.102","0.753","0.122","0","37","37","37","48.9","0","0","1.2","0","0.76","0","13.9","47","170","48","2.02","1","0.236","1.8","417","299","0","0","0","0","0","0","0","0","0.008","0.74","0.261","0.035","2.583","0.025","0","2.387","0.398","0","0","0","0","0","58.4"
"Kidney beans, from canned, no added fat","Beans, peas, legumes","135","8.7","24.72","3.08","8","0.6","0.208","0.245","0.29","0","0","0","0","0","0","0","0","0.168","0.106","0.782","0.127","0","39","39","39","50.8","0","0","1.3","0","0.03","0","6.8","48","177","50","2.08","1.03","0.245","1.8","433","311","0","0","0","0","0","0","0","0","0.008","0.137","0.063","0.013","0.02","0","0","0.138","0.085","0","0","0","0","0","63.27"
"Kidney beans, from canned, reduced sodium","Beans, peas, legumes","185","8.37","23.79","2.97","8.5","6.82","1.054","2.849","2.849","0","0","0","0","0","0","0","0","0.162","0.102","0.753","0.122","0","40","40","40","48.9","0","0","1.2","0","0.76","0","13.9","47","170","48","2.02","1","0.236","1.8","417","188","0","0","0","0","0","0","0","0","0.008","0.74","0.261","0.035","2.583","0.025","0","2.387","0.398","0","0","0","0","0","58.4"
"Kidney beans, from dried, fat added","Beans, peas, legumes","176","8.06","21.19","0.3","6.9","6.97","0.957","2.761","2.935","0","0","0","0","0","0","0","0","0.141","0.051","0.51","0.106","0","115","115","115","28.4","0","0","1.1","0","0.79","0","15.5","26","132","42","2.74","1","0.225","1.1","375","218","0","0","0","0","0","0","0","0","0","0.694","0.216","0.023","2.709","0.026","0","2.449","0.486","0","0","0","0","0","62.21"
"Kidney beans, from dried, no added fat","Beans, peas, legumes","126","8.62","22.66","0.32","7.4","0.5","0.072","0.039","0.273","0","0","0","0","0","0","0","0","0.151","0.055","0.546","0.113","0","123","123","123","30.3","0","0","1.1","0","0.03","0","8.4","28","141","45","2.92","1.06","0.241","1.2","401","233","0","0","0","0","0","0","0","0","0","0.064","0.008","0","0.039","0","0","0.106","0.167","0","0","0","0","0","66.54"
"Kidney beans, from fast food / restaurant","Beans, peas, legumes","194","7.81","20.54","0.29","6.7","9.46","1.297","3.808","3.959","0","0","0","0","0","0","0","0","0.137","0.05","0.495","0.103","0","111","111","111","27.5","0","0","1","0","1.08","0","18.2","26","128","41","2.66","0.96","0.218","1.1","363","350","0","0","0","0","0","0","0","0","0","0.936","0.296","0.032","3.737","0.036","0","3.35","0.608","0","0","0","0","0","60.31"
"Kidney beans, NFS","Beans, peas, legumes","176","8.06","21.19","0.3","6.9","6.97","0.957","2.761","2.935","0","0","0","0","0","0","0","0","0.141","0.051","0.51","0.106","0","115","115","115","28.4","0","0","1.1","0","0.79","0","15.5","26","132","42","2.74","1","0.225","1.1","375","218","0","0","0","0","0","0","0","0","0","0.694","0.216","0.023","2.709","0.026","0","2.449","0.486","0","0","0","0","0","62.21"
"Kidney, cooked","Liver and organ meats","157","27.04","0","0","0","4.61","1.427","0.952","1.129","710","0","0","0","0","0","23","0","0.159","2.945","3.887","0.388","0","82","82","82","508.9","24.69","0","0","1.1","0.08","0","0","19","301","12","5.75","2.82","0.559","166.6","134","416","0","0","0","0","0","0","0","0","0.02","0.644","0.612","0.068","0.861","0.023","0","0.621","0.022","0","0.439","0","0","0","66.33"
"Kimchi","Olives, pickles, pickled vegetables","15","1.1","2.4","1.06","1.6","0.5","0.067","0.037","0.241","0","0","5","1","55","0","0","49","0.01","0.21","1.1","0.213","0","52","52","52","15.5","0","0","0","0","0.11","0","43.6","33","24","14","2.5","0.22","0.024","0.5","151","498","0","0","0","0","0","0","0","0.003","0.003","0.057","0.003","0","0.037","0","0","0.104","0.137","0","0","0","0","0","94.3"
